iter	Passed	Remaining
894	5042	591
895	5047	585
896	5052	580
897	5057	574
898	5063	568
899	5068	563
900	5073	557
901	5078	551
902	5084	546
903	5089	540
904	5095	534
905	5100	529
906	5105	523
907	5110	517
908	5116	512
909	5122	506
910	5128	501
911	5133	495
912	5138	489
913	5144	484
914	5149	478
915	5155	472
916	5160	467
917	5165	461
918	5170	455
919	5175	450
920	5180	444
921	5185	438
922	5191	433
923	5196	427
924	5201	421
925	5206	416
926	5212	410
927	5217	404
928	5223	399
929	5228	393
930	5234	387
931	5239	382
932	5244	376
933	5249	370
934	5255	365
935	5260	359
936	5265	354
937	5270	348
938	5276	342
939	5282	337
940	5287	331
941	5293	325
942	5299	320
943	5304	314
944	5310	309
945	5314	303
946	5319	297
947	5325	292
948	5330	286
949	5336	280
950	5341	275
951	5347	269
952	5353	264
953	5358	258
954	5364	252
955	5371	247
956	5376	241
957	5382	235
958	5387	230
959	5392	224
960	5398	219
961	5403	213
962	5409	207
963	5414	202
964	5420	196
965	5425	190
966	5432	185
967	5437	179
968	5443	174
969	5448	168
970	5454	162
971	5460	157
972	5465	151
973	5471	146
974	5476	140
975	5482	134
976	5487	129
977	5493	123
978	5498	117
979	5503	112
980	5509	106
981	5514	101
982	5520	95
983	5525	89
984	5531	84
985	5536	78
986	5542	72
987	5547	67
988	5553	61
989	5558	56
990	5563	50
991	5569	44
992	5574	39
993	5579	33
994	5585	28
995	5590	22
996	5596	16
997	5601	11
998	5606	5
999	5611	0
